model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,onnx,GPU,13,3.9093,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,14,3.9874,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,15,4.0069,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,16,4.0225,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,17,4.0383,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,18,4.0234,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,19,4.0177,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,20,3.8556,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,21,3.9892,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,22,3.8205,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,23,3.9708,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,24,3.9207,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,25,4.0432,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,26,3.9940,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,27,3.9420,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,28,4.0242,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,29,3.9549,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,30,3.8198,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,31,3.9368,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,32,3.8449,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,33,3.8757,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,34,3.8868,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,35,3.9965,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,36,4.0173,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,37,3.9405,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,38,3.9594,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,39,3.8360,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,40,3.9503,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,41,3.8615,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,42,3.9153,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,43,3.8912,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,44,3.8372,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,45,3.8084,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,46,3.8556,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,47,3.8968,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,48,3.7328,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,49,3.7483,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,50,3.8608,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,51,3.7201,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,52,3.8761,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,53,3.9329,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,54,3.8560,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,55,3.9157,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,56,3.8713,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,57,3.9135,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,58,3.8796,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,59,3.7978,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,60,3.8982,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,61,3.7785,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,62,3.8099,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,63,3.8013,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,64,3.8150,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,65,3.9017,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,66,3.8685,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,67,3.9952,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,68,3.8019,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,69,3.8770,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,70,3.9734,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,71,3.8933,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,72,4.0410,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,73,3.9303,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,74,3.9099,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,75,3.8978,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,76,3.9543,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,77,3.8007,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,78,3.8944,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,79,3.9791,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,80,3.9557,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,81,3.9877,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,82,3.8868,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,83,3.9971,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,84,4.0071,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,85,3.8640,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,86,3.8233,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,87,3.9541,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,88,3.8368,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,89,4.0034,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,90,3.9195,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,91,3.8339,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,92,3.9572,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,93,3.8453,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,94,4.0018,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,95,3.8600,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,96,3.9946,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,97,3.8512,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,98,3.9183,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,99,3.8647,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,onnx,GPU,100,4.0349,3.9121,3.7201,4.0432,3.9144,0.0774
resnet,pytorch,CPU,1,9.6851,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,2,9.6365,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,3,9.8194,9.7407,9.5125,10.0043,9.7589,0.0999
resnet,pytorch,CPU,4,9.8512,9.7407,9.5125,10.0043,9.7589,0.0999
