model_name,model_type,hardware,iteration,inference_time_sec,avg_time_sec,min_time_sec,max_time_sec,median_time_sec,stddev_time_sec
resnet,onnx,GPU,7,0.7869,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,8,0.7541,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,9,0.7952,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,10,0.7913,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,11,0.8123,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,12,0.7794,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,13,0.7941,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,14,0.7865,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,15,0.7739,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,16,0.7752,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,17,0.7755,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,18,0.7784,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,19,0.7792,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,20,0.7499,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,21,0.7707,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,22,0.7335,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,23,0.7743,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,24,0.7521,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,25,0.7529,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,26,0.7583,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,27,0.7654,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,28,0.7472,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,29,0.7898,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,30,0.7754,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,31,0.7580,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,32,0.7791,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,33,0.7638,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,34,0.7902,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,35,0.7740,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,36,0.7951,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,37,0.7565,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,38,0.7593,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,39,0.7661,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,40,0.7956,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,41,0.7952,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,42,0.7927,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,43,0.7775,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,44,0.7930,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,45,0.7633,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,46,0.7670,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,47,0.7742,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,48,0.7755,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,49,0.7876,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,50,0.7997,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,51,0.7791,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,52,0.7774,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,53,0.8003,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,54,0.7673,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,55,0.8024,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,56,0.7971,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,57,0.7959,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,58,0.7594,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,59,0.7831,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,60,0.7932,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,61,0.7600,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,62,0.8043,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,63,0.7796,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,64,0.8006,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,65,0.8082,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,66,0.7858,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,67,0.7660,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,68,0.7646,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,69,0.7953,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,70,0.7604,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,71,0.8073,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,72,0.7992,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,73,0.7692,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,74,0.7784,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,75,0.8001,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,76,0.7531,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,77,0.7618,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,78,0.7744,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,79,0.8018,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,80,0.7646,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,81,0.7890,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,82,0.7711,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,83,0.7960,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,84,0.7812,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,85,0.7638,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,86,0.7986,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,87,0.7631,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,88,0.7790,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,89,0.8019,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,90,0.7968,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,91,0.7990,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,92,0.8104,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,93,0.7791,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,94,0.7651,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,95,0.7692,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,96,0.7736,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,97,0.8087,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,98,0.7977,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,99,0.8010,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,onnx,GPU,100,0.7917,0.7811,0.7335,0.8123,0.7793,0.0171
resnet,pytorch,CPU,1,7.1487,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,2,7.1693,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,3,7.1571,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,4,7.1574,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,5,7.1074,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,6,7.1118,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,7,7.1467,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,8,7.1933,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,9,7.1617,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,10,7.1303,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,11,7.1823,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,12,7.1401,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,13,7.1807,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,14,7.1408,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,15,7.1518,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,16,7.0757,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,17,7.1085,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,18,7.1580,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,19,7.1083,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,20,7.1191,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,21,7.0969,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,22,7.1505,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,23,7.1340,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,24,7.1547,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,25,7.1453,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,26,7.0948,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,27,7.1393,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,28,7.1362,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,29,7.1235,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,30,7.1417,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,31,7.0969,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,32,7.1630,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,33,7.1131,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,34,7.1025,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,35,7.1323,7.1377,7.0519,7.2403,7.1355,0.0387
resnet,pytorch,CPU,36,7.1349,7.1377,7.0519,7.2403,7.1355,0.0387
