ts,cpu_%,ram_MiB,gpu_id,gpu_util_%,gpu_mem_MiB
1745347157.4280374,68.3,10908,0,0.0,4.0
1745347158.499667,82.3,9572,0,0.0,4.0
1745347159.5496736,98.1,11241,0,0.0,4.0
1745347160.6183178,99.9,11485,0,0.0,4.0
1745347161.6872885,100.0,11557,0,0.0,4.0
1745347162.7579334,99.0,11130,0,0.0,4.0
1745347163.817968,86.0,11734,0,0.0,4.0
1745347164.9184637,99.8,14237,0,0.0,4.0
1745347165.9718149,100.0,16230,0,0.0,4.0
1745347167.0551207,100.0,16803,0,0.0,4.0
1745347168.133775,100.0,16827,0,0.0,4.0
1745347169.1939955,100.0,16555,0,0.0,4.0
1745347170.2928054,100.0,16582,0,0.0,4.0
1745347171.359415,93.8,16768,0,0.0,4.0
1745347172.4633179,92.1,15649,0,0.0,4.0
1745347173.538031,100.0,16964,0,0.0,4.0
1745347174.6259947,100.0,16536,0,0.0,4.0
1745347175.7198212,100.0,15662,0,0.0,4.0
1745347176.771665,100.0,15218,0,0.0,4.0
1745347177.8386333,100.0,14439,0,0.0,4.0
1745347178.9087963,90.5,14098,0,0.0,4.0
1745347179.9544506,77.8,12957,0,0.0,4.0
1745347181.0152652,100.0,14224,0,0.0,4.0
1745347182.12197,100.0,14324,0,0.0,4.0
1745347183.1880035,100.0,14266,0,0.0,4.0
1745347184.2499857,99.9,14572,0,0.0,4.0
1745347185.3413365,100.0,15844,0,0.0,4.0
1745347186.3940418,100.0,16173,0,0.0,4.0
1745347187.4272592,99.1,14234,0,0.0,4.0
1745347188.500808,100.0,15295,0,0.0,4.0
1745347189.5631328,100.0,15507,0,0.0,4.0
1745347190.6245496,100.0,14803,0,0.0,4.0
1745347191.700938,100.0,14067,0,0.0,4.0
1745347192.811647,100.0,13698,0,0.0,4.0
1745347193.870388,93.4,11680,0,0.0,4.0
1745347194.9398437,88.1,9856,0,0.0,4.0
1745347195.98555,78.2,10635,0,0.0,4.0
1745347197.0405512,99.6,11004,0,0.0,4.0
1745347198.0942183,100.0,11275,0,0.0,4.0
1745347199.1726964,98.5,10884,0,0.0,4.0
1745347200.2520301,90.9,12357,0,0.0,4.0
1745347201.3139975,100.0,13774,0,0.0,4.0
1745347202.3893452,99.9,15165,0,0.0,4.0
1745347203.487104,100.0,16872,0,0.0,4.0
1745347204.5718696,100.0,17359,0,0.0,4.0
1745347205.6750944,100.0,17696,0,0.0,4.0
1745347206.7573414,100.0,17938,0,0.0,4.0
1745347207.975589,99.8,16447,0,0.0,4.0
1745347209.0089586,84.4,15200,0,0.0,4.0
1745347210.0606236,77.7,13215,0,0.0,4.0
